filename,Class,F0_mean,SpecCentroid,RMS,SpecRolloff85,MFCC1_mean,MFCC2_mean,MFCC3_mean,Onset_max
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_313.wav,pia,365.6875823046066,896.0901124071789,0.051733598,1486.9504957932693,-314.089,205.57184,-44.529358,6.2191486
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_091.wav,pia,102.61708381825161,878.3517882887659,0.05153376,1496.0606971153845,-308.46368,213.90396,-45.352757,4.7426558
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_133.wav,pia,463.85021235920516,746.4796348611953,0.035402745,1124.778583233173,-420.2616,206.1371,2.2569287,4.732635
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_080.wav,pia,99.26112063671303,871.8776190966945,0.052464508,1504.2598783052886,-305.3131,216.23808,-44.56023,4.8609915
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_059.wav,pia,190.57613291221233,918.3456523931468,0.048722148,1488.689716045673,-318.96997,215.07788,-50.053318,6.1380696
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_261.wav,pia,138.06796598141844,762.8776718924415,0.01722782,1188.2187124399038,-490.4997,192.95006,2.0468338,5.7690845
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_303.wav,pia,326.36649613349306,813.0023037711136,0.04160732,1350.2974759615386,-346.69345,220.15102,-33.02449,6.717633
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_085.wav,pia,105.39211027771674,893.1316425188425,0.050892662,1451.2550706129807,-322.13004,207.45448,-44.008728,5.6243114
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_095.wav,pia,158.90035532825203,746.8563252196732,0.049040694,1363.1345778245193,-319.04614,229.59402,-33.684868,3.2863648
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_233.wav,pia,187.16619066757866,758.0706582134853,0.036680102,1284.2071063701924,-353.11557,223.83224,-26.471066,4.489262
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_271.wav,pia,243.71143441465387,778.0683671575474,0.024035215,1165.277569110577,-457.3588,201.64174,-3.3769453,5.951423
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_064.wav,pia,188.87510216359564,834.9820848145039,0.038510375,1322.3871319110576,-373.23926,202.23093,-23.15006,4.580935
MIDI-Unprocessed_Chamber4_MID--AUDIO_11_R3_2018_wav--1_chunk_062.wav,pia,210.91402211280356,749.4880147808921,0.028456585,1320.5650916466345,-393.0216,210.76193,-18.272638,7.3577228
